ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 231.0 MG of Calcium, Ca, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 204.0 MG of Calcium, Ca, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 224.5 MG of Calcium, Ca, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 36.5333 MG of Calcium, Ca, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 122.0 MG of Calcium, Ca, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 19.3667 MG of Calcium, Ca, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 122.0 MG of Calcium, Ca, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 125.0 MG of Calcium, Ca, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 123.0 MG of Calcium, Ca, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 133.0 MG of Calcium, Ca, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 210.0 MG of Calcium, Ca, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 175.0 MG of Calcium, Ca, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 155.0 MG of Calcium, Ca, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 243.0 MG of Calcium, Ca, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 207.5 MG of Calcium, Ca, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 34.45 MG of Calcium, Ca, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.5005 MG of Iron, Fe, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.66 MG of Iron, Fe, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.44 MG of Iron, Fe, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.652 MG of Iron, Fe, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.466 MG of Iron, Fe, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.565 MG of Iron, Fe, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.541 MG of Iron, Fe, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.351 MG of Iron, Fe, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0688 MG of Iron, Fe, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.3825 MG of Iron, Fe, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.46 MG of Iron, Fe, 
